Song,Track ID,Artist ID,Artist Name
,TRCWLPW128F426987C,ARLKF6O1187FB3659C,Thea Gilmore
,TRWLMUM128F427BEFD,ARIJPXL1187B9AB43A,Dead Or Alive
"12287, Once In A Lifetime ( LP Version )",,,
,TREBLJK128F4237A72,ARROQSO1187B9AEB80,Talking Heads
,TRKHAXP128F4259347,AR9L0H31187B98C7CE,Blenderhead
"68052, Military Madness",,,
,TRCMEIY128F9336E8E,ARZOLYS12086C12DE6,Obits
,TRCMHSS128F4274D5F,ARFAC0T1187B98C410,Crosby_ Stills & Nash
"662, A Hard Day's Night (LP Version)",,,
,TRTFXAO128F14A27A9,AR4PQ891187FB5CA9F,Dionne Warwick
,TRBXLOI128EF344591,ARXGNJV1187B9B8962,Barkays
,TRQWNRO128F428B551,AR9H9DL1187B9B9691,Peter Sellers
"40112, Milestones",,,
,TROEYJW128F428AB68,AR6G3T11187FB4377A,Charles Earland
,TRYOABR128F1495B40,ARY29Z81187B9B38FB,Elek Bacsik
,TRQOOFO128F93245C8,AR00AP71187B99635F,Miles Davis
"98138,731, All By Myself (Album Version)",,,
,TRJQNUY128EF367651,AR4SBWX1187FB4D6BE,Babes In Toyland
,TREQCUX128F1459CE5,ARBZX3K1187FB3F5FC,Jamie O'Neal
,TRBPNPN128F92EC5F5,ARFWL8S1187B9B4B44,Céline Dion
,TRECJKD128F42774E0,ARXZIHJ1187B9A4ED9,Ray Conniff;Billy Butterfield
,TRWWNHH128F425628A,AR8LA5Y1187B98D9E2,Eddie Fisher
,TRHMXVQ128F92F37E1,ARM7CYZ1187B9B8DC5,Eric Carmen
,TRBULYV128F9320619,ARFEZRN1187FB3E182,Stanley Turrentine
"116230, Breaking The Girl",,,
,TRZPZCV128F1453CAC,AR83T1H1187B99FA5F,Turin Brakes
,TROXIGA128F146D765,ARE8GLF1187FB52532,Red Hot Chili Peppers
"72500, I've Done Everything For You (1992 Digital Remaster)",,,
,TRKSSHJ128F1457F52,AR0YTWT1187FB3D62F,Sammy Hagar
,TRFDTEJ128F428870F,ARUUKVP1187B9AF57D,Rick Springfield
"403, Don't Speak (Album Version)",,,
,TRASQOB128F4278EEE,ARYVNQ21187B9AF714,Leela James
,TREREBE128E078EB58,ARPVCLJ1187B9AC403,No Doubt
,TRVVLWJ128EF343393,AR0U2WK1187B9B3D94,Anna Maria Jopek
,TRPQGHL128F933A453,AR3MVZ31187FB573C4,Danni Carlos
"4689, Love Is Here To Stay",,,
,TRCKVSV128F92F34F7,AROQS6O1187FB3D146,Barney Kessel
,TRRHWLN128F14A3095,ARLPFWM1187FB4CCCB,Blossom Dearie
,TRPKYYS128F146412E,ARAOOCU1187FB3F3D8,Jackie Gleason
,TROUHQL128F421EB83,ARLO2801187FB3CBF5,Carmen McRae
,TRFFEJK128F42771A7,ARF6C551187FB40741,Andy Williams
,TRIASBZ128F428D594,ARGTB581187B988D42,Clare Teal
,TRFFGHD128F92FE8A7,ARXUG3L1187B9A8DBC,Earl Klugh
,TRTZISD128F14883B6,ARHAS6X1187B9901C6,Patrice DiPasquale_ Frederic Chopin
,TRGOPZB128F42634D8,ARXOB9P1187B99101A,Steve Tyrell
"62158, Dress Rehearsal Rag (Remastered Album Version)",,,
,TRCYCRI128F1471298,ARPGQ9A1187FB4D0AD,Noel Harrison
,TRRMLVH128F427889A,ARTQ8QP1187FB3D220,Leonard Cohen
"14669, Take The Skinheads Bowling (feat. Victor Krummenacher_ Cris Pedersen_ Jonathan Segal_ Graham Connah_ Walter Malli)",,,
,TRIHLWK128F426B8F1,AR7ZRPS1187B9B5D7F,Eugene Chadbourne / Andrea Centazzo
,TRBYIZN128E0794E79,AR12UD81187B98CB39,Camper Van Beethoven
"60051, Oblivious (song for Galaxy 500 tribute)",,,
,TRRCQCO128F42B2051,ARD914N1187FB56BDD,Hefner
,TRBWYDX12903CD6A0D,ARFULGF1187FB5690C,Galaxie 500
"109691, Slow Like Honey",,,
,TRGZFLG128F426A555,AR15IO41187FB4D3FF,Fiona Apple
,TRGMCJU128F92ECA10,ARCNW7U1187FB3B219,Jane Monheit
"3775, Lovin' You",,,
,TRWPPHZ128F146F5C1,AR5J7RY1187FB3781C,Helen Reddy
,TRFIPAQ128F931F7B5,ARSZWK21187B9B26D7,The Lovin' Spoonful
"39117, A Kiss To Build A Dream On",,,
,TRNUJFN128F42785C9,ARWQEZJ1187FB3ADA9,Tony Bennett & k.d. lang
,TRPHZVM128F930C859,AR4JY8V1187B98A62F,Ann Hampton Callaway
,TRIVGUV12903CC44F6,ARXOB9P1187B99101A,Steve Tyrell
"19578, Shining Star",,,
,TROPBOX128F4267FA8,ARMHDEZ1187FB43997,The Manhattans
,TRPMHHP128F933DB50,ARR9XGB1187B9912E6,Boyz II Men
,TRZYBVJ128E0782DB1,ARCLFWR1187B9AE7B2,Fun Lovin' Criminals
"4156, Can't Get Used To Losing You",,,
,TRLQVYP128F933093A,AR20RMZ1187B9B2994,Renegade Soundwave
,TRKUMCE128F4292AA4,AR65T9K1187FB3842E,Paul Anka
"1223, Jealous Guy",,,
,TRGJAGS128F92E22D9,ARDGES11187B9B7DDF,Roxy Music
,TRYPFBH128F146EF5E,ARFONB81187B994D01,Gavin DeGraw
,TRFSGBU128F428E155,AR2F1JC1187FB4EFB0,Luna
,TRUWLEA128F428C878,ARJWNUT1187B9907B5,Youssou N'Dour
"103288, Hell Is For Children",,,
,TRIHLRK128F9358782,ARR057Y1187B9A16E7,Children Of Bodom
,TRAKTZP128F427DB55,AR0TGZI1187B992539,Seven Witches
"33056, Barrytown",,,
,TRPWZSO128F9310B67,ARQT9SA1187B9AD3C7,Steely Dan
,TRQZQCQ12903C9AA47,ARBAN8S1187FB4D22F,Ben Folds Five
"13230, Tumbling Dice",,,
,TRLUNCP128F42BA510,ARFCUN31187B9AD578,The Rolling Stones
,TRTHGZF128F42381B7,ARWW0KV1187FB551A6,Linda Ronstadt
,TRPEMON128F933F6E2,ARJT7OG1187FB3A07F,Molly Hatchet
"1182, Machine Gun",,,
,TRTAJDB128F14640CF,AR2665Z1187FB56AB9,Commodores
,TRKSKCH128F92F3858,AR7PPJV1187FB397CC,James Taylor Quartet
"38355, I have always been here before",,,
,TRDIHMD128F9324A40,ARDQKMM1187FB3F4F0,Roky Erickson
,TRVCJSF128F1486EE4,ARIYD341187B98CF7C,Julian Cope
"23735, At The Hop",,,
,TRWMTGE128F932E125,AR1F5321187B9A3EBF,Danny And The Juniors
,TRYHNQC12903CAC00B,ARCBVD51187FB52E1D,Sha Na Na
"37581, Cloudy",,,
,TRKHUOZ12903CBA4CC,ARIWB161187B9AA1D5,Simon & Garfunkel
,TRPWXSD128F426E950,ARVOZJQ1187FB5A2F8,The Cyrkle
"75234, So Long (Originally Performed by Abba)",,,
,TRBFMIU12903CB8536,AR00A6H1187FB5402A,The Meatmen
,TRAWTGT128F146ECF1,ART50HO1187FB4D0ED,Abba
"32322, New York State Of Mind",,,
,TRHLTRO128F92EA51A,ARNYFVH1187B9B6A9E,Billy Joel
,TRWRNUH128F92D1663,AR14LJF1187FB38AD6,Eric Marienthal
,TRRDPUY128F1463693,ARQAHR31187FB3FDD0,Oleta Adams
,TRENGNK128F426199E,ARGJ1ZL1187FB3FC38,Barbra Streisand;Yves Montand
"20911, No Matter What",,,
,TRSVLHR12903CBCBDF,ARPC1EC1187B99CEA0,Smokie
,TRKCPSP128E0793234,ARCQ0AA1187B9AE55A,Boyzone
,TRWMIAI128F92EB21D,ARL7YU61187B9B85D7,G4 feat. Sir Cliff Richard
"103112, Easy Money (LP Version)",,,
,TRFHCJO128F429B621,ARXPE571187FB4AFD0,Rickie Lee Jones
,TRKIMOT128F4233375,ARNEYLP1187FB374F6,Lowell George
"88152, Catch The Sun",,,
,TRDYAHD128E0798912,ARC1IHZ1187FB4E920,Jamie Cullum
,TRPYCFE128F934B878,ARW64KS1187FB3C94D,Doves
"18478, Beautiful World",,,
,TRWPFIX128F42733F6,ARCE0H01187B9AF741,Rage Against The Machine
,TRGGSWV128F1458AB2,ARYML1P1187B9AF39B,Devo
"6031, Come Rain or Come Shine",,,
,TRGXVLB12903CACED0,AR66H0N1187B9AE91E,Etta James
,TRFJZCW128F423408E,ARC7S1F1187B98CF1D,Chris Connor
,TRGGVZU128EF35E2D1,ARIXE8X1187B999C7B,Wes Montgomery
,TRIAYQI128F92D16D6,AR2DMFV1187FB5CA95,Keely Smith
,TRBWXTR128F424B838,ARQ6PLP1187FB468E3,Robin McKelle
,TRSOAAB128F1498895,ARCN61O1187B9ABBE8,Aaron Neville
,TRZZBAC128F422B9A3,ARE0WH81187B9A7BA3,Rufus Wainwright
,TRWWGAS128F42B7471,ARQ4IRI1187FB5C278,Diane Schuur
,TRPYZOD128F427C1AE,ARTASUV1187B9A2B67,Frank Sinatra
"9951, Move It On Over",,,
,TRDWFDN128F426B027,AR51USL1187FB44216,Hank Williams
,TRCPIOF12903CAB4AF,ARDBGHU1187FB52D08,Ace Cannon
"1252,17982, When The Levee Breaks",,,
,TRURAKJ128F4276554,ARDP7ZR1187B98CB33,John Campbell
,TRVPPCL128F4292159,ARDIBRT1187B9AF176,Led Zeppelin
"16986, Maniac",,,
,TRKWHBP12903D01ACC,ARNYS9L1187B98F1C2,Firewind
,TRHFWNG128F424CD08,ARV3DTN1187FB54D20,Carnival in Coal
,TRETGSV12903CB02E6,ARWLV931187B9B0F5A,Evergreen Terrace
,TRVWFCJ128F92F888D,ARB7XY71187B9B9A4D,Michael Sembello
"57556, Border Lord",,,
,TRKIXHW12903D16872,ARBQPXY1187B98D67B,Kris Kristofferson
,TRGQEBB128F930F947,AROFLA71187B9B23CE,Califone
,TRZATGD128F9310B7E,ARZ2DW21187B98CA06,Stephen Bruton
"3696, Wild About My Lovin'",,,
,TRUCEPX128F9310FF0,ARDK87R1187B98D51C,Flamin' Groovies
,TRZSMPB128F4291BDB,ARSZWK21187B9B26D7,The Lovin' Spoonful
"32602, This Time",,,
,TRUWGXJ128F9339221,ARWTWTI1187B9905BE,Troy Shondell
,TRMCHCY128F93364B6,AR5HOKG1187FB3873E,Shakin' Stevens
"29377,8141,12503, Danny Boy",,,
,TRFDMMV12903CAAF02,ARHLSMN1187B98D8D7,Harry Belafonte
,TRLIPNX128F4261F2A,ARXB4J91187B9A9C7D,Ray Price
,TRACDCZ128F4285AE0,AR0X3JJ1187FB3A9A7,Hank Locklin
,TRKQIDR128F92EB21A,ARL7YU61187B9B85D7,G4 feat. Sir Cliff Richard
,TRIXCIF128F425CBDB,AR1UUWB1187B997F2F,Meav Ni Mhaolchatha
,TRSSQBK128F92D4D6A,ARTW2IX1187FB5C170,Frankie Ford
,TRHBVXP128F4279A66,AR77GI01187FB4D21A,Willie Nelson and Leon Russell
,TRIQRUU128F931F86F,ARTJECM1187B9930BA,Art Tatum
,TRPOIAE128F425C3D3,AR0JEOI1187B98B918,Erik Berglund
,TRPNDRN128F92E9D87,ARHZFG61187FB3A9F3,David Houston
,TRRUNLW128F428E56D,AR0RD821187B9ADA65,Shane MacGowan And The Popes
,TREJLTZ128F1498899,ARCN61O1187B9ABBE8,Aaron Neville
,TRFCBVS128F42922E8,ARQB7KW1187B9A6C02,Eva Cassidy
,TRCDIVY128F424BD13,AR26X1C1187B9B0A1B,Conway Twitty
"27647, Rawhide",,,
,TRXZTKN128F92D1040,ARHDZYJ1187FB38530,The Men They Couldn't Hang
,TRHICFZ12903CEC147,ARBUZFB1187FB39262,Blood On The Saddle
,TRXJUEG128F42AC306,AR050VJ1187B9B13A7,Dead Kennedys
"111452, Panis Angelicus",,,
,TRHORDD128F92EF815,ARNJ9LU1187B9A56A6,Il Divo
,TRBLMGR128F4249FB2,AR3TZ691187FB3DBB1,Russell Watson / Royal Philharmonic Orchestra / Nicholas Dodd
,TRZVFIP128F92CFE4D,ARV481W1187FB38CD9,Andrea Bocelli
,TRBDLVQ128F425EA52,ARK36B71187FB589D2,Paul Potts
,TRDGPKD128F4275514,ARGVJPK1187B9909EA,Josh Groban
"8824, I Was Made To Love Her",,,
,TRLBCOM128E0784D4A,ARHTHC01187B9B6D2A,Michael McDonald
,TRPDSGK128F428C799,ARR9XGB1187B9912E6,Boyz II Men
"36045,54135, Baby Elephant Walk (""Hatari"")",,,
,TRCZYXO128F92FD8C9,ARZWPWP1241B9CA793,Henry Mancini
,TRSFXBK128F425EC8E,AR3B2UY1187B99B19F,Mamonas Assassinas
"16067, Auf Wiedersehen",,,
,TRQCKHF128F426A941,AR3B7K91187B98C62E,Anthrax
,TRCEAIA128F426CE54,AREMEW61187B9B62DD,Cheap Trick
"42090, Too Much Love",,,
,TRQOTJE12903CBAC65,ARJPZSG1187FB3E985,John Holt
,TRKJGWS128E078B30E,AR78JQQ1187FB387DB,Bread
"30905, Can't Hold Out Much Longer",,,
,TRTPFNO128F92FF4C5,ARGHPIE1187FB3CCDF,Fenton Robinson
