Original Artist,Release Year,SongID
Foo Fighters,1997,54475
Joy Division,1980,53716
B.J. Thomas,1968,33624
Operation Ivy,1989,54976
The Zombies,1968,20151
Katrina and The Waves,1983,22991
Mose Allison,1963,34061
Otis Redding,1968,2966
John D. Loudermilk,1963,28397
Little Richard,1957,8733
Casa Loma Orchestra,1933,117276
The Alan Parsons Project,1979,7695
Merle Haggard,1973,99407
The Association,1967,26941
Brenda Holloway,1964,43588
Pet Shop Boys,1987,117197
Jimmie Rodgers [US1],1930,13305
Harry Richman,,9576
James Brown,1985,13532
"""Pine Top"" Smith",1929,97734
Floyd Jones and His Trio,1953,9038
Aerosmith,1974,97572
The Troggs,1967,20294
Corey Hart,1983,19133
Jimi Hendrix Experience,1967,209
Go-Go's,1981,25701
Eurythmics,1986,11944
Stoneman Family,1930,44070
Sophie Tucker,1911,39785
Robert Johnson,1937,15809
Leonard Cohen,1988,1836
Harry Nilsson,1969,44915
Bob Dylan,1991,5289
St. Louis Jimmy,1941,9786
"Earth, Wind & Fire",1975,48151
Bee Gees,1977,7247
Tamara,,7202
Quincy Jones,1974,4541
Frank Sinatra,,4816
Traffic,1967,37238
Jack Hylton and His Orchestra,1930,18505
Blind Faith,1969,35095
Walter Woolf King,,112097
Chad Stuart and Jeremy Clyde,1963,88140
The Velvet Underground,1970,1147
Tom Rush,1966,14333
Andrew Rowan Summers,1951,105928
The Valentinos [US],1964,4487
Thee Sixpence,1967,114737
Hubert Raphael Charles,1934,97333
Depeche Mode,1984,3882
Buddy Holly,1958,20648
Kiss,1974,26303
Neil Sedaka,1962,28100
Roy Milton and His Solid Senders,1946,46247
Sleepy John Estes,1938,63216
George Jones & Gene Pitney,1965,112297
Brian McKnight,1999,25687
Neil Sedaka,1959,1766
Heatwave,1976,43176
Fabrizio Ferretti,1966,74120
Albert Hammond - Arranged and conducted by Michael Omartian,1972,20838
Leonard Cohen,1971,13585
Memphis Jug Band,1929,79779
Richard Harris [IE],1968,5930
Francis J. Lapitino,1917,48785
Eddie Cochran,1958,3936
The Challengers [US2],1965,1088
Dead Kennedys,1980,6585
Black Flag,1978,19229
The Righteous Brothers,1962,29613
Donald Byrd,1974,6267
Cheap Trick,1977,207
Anna Karina,1967,37763
Ethel Waters,,28495
My Bloody Valentine,1991,71304
Nick Drake,1972,37423
Eddie Riff with Orchestra,1956,28680
Joni Mitchell,,10961
Jimmy Wilson and His All-Stars,1953,26050
The Monochrome Set,1979,67931
Sugar Ray,1997,7471
Little Anthony and The Imperials,1964,57622
Jessie Hill,1960,42795
Paula Abdul,1988,40785
Outkast feat. Sleepy Brown,2003,96796
George Harrison,1970,21569
Aerosmith,1975,6753
Stephen Stills,1970,43178
Brenda Russell,1979,43227
Vinícius de Moraes com Conjunto e Côro,1961,104170
Cab Calloway and The Cabaliers,1942,102577
Brenda Russell,1988,37774
Chick Webb's Savoy Orchestra,1934,30678
Screamin' Jay Hawkins - Orch. under the dir. of Leroy Kirkland,1956,33
Beyoncé,2008,112699
Paul Davis [US2],1961,10108
The Willing Four,1944,26744
Léo Ferré,1971,50608
Ray Charles and His Orchestra,1959,21243
The Slicker,1970,86663
The Beatles,1967,115604
Kanye West featuring Jamie Foxx,2005,63298
The Impressions,1964,13169
Tommy Johnson,1928,2749
Pink Floyd,1973,67499
Rosco Gordon,1959,26263
Stevie Wonder,1969,7312
Ginger Rogers and Allen Kearns,,4700
Lynyrd Skynyrd,1973,9033
Bonnie Dobson,1962,1035
Bloodbath,2000,94763
Roy Orbison,1991,7457
No Use for a Name,1995,53463
Sepultura,1996,113336
The Jimi Hendrix Experience,1967,6906
Céline Dion,1991,96820
The Amps,1995,42566
Metallica,1984,6628
Tampa Red,1938,62463
Joe Williams' Washboard Blues Singers,1935,18398
Duke Ellington and His Orchestra,1933,11782
The Stooges,1970,15781
Great Buildings,1981,63916
The Smashing Pumpkins,1996,53332
The Flying Burrito Brothers,1969,11762
Bob & Earl,1963,16810
Kris Kristofferson,1972,45824
Suicide,1979,107112
The Rascals,1968,22783
Fiddlin' John Carson,1924,29381
The Beatles,1965,3177
Prince's Orchestra,1910,75351
Black Flag,1981,19224
"Nat ""King"" Cole [Trio]",1989,3013
Roy Hawkins,1951,67278
M [GB],1979,5664
The Beatles,2021,14327
Judy Campbell,,71473
The Jimi Hendrix Experience,1967,5502
"Hank Snow, The Singing Ranger and The Rainbow Ranch Boys",1954,35263
Paul Giovanni & Magnet,1998,117257
Ed Townsend,1958,73766
Big Star,1972,37914
The Beach Boys,1964,23640
Z.Z. Hill,1972,95995
The Greenbriar Boys,1961,5577
Jimmie Dale and The Flatlanders,1972,102758
Felicia Sanders,,116877
The Byrds,1965,3688
The Waves,1982,3313
Sly & The Family Stone,1969,16040
O.V. Wright,1971,67262
Jackson C. Frank,1965,4015
Marlena Shaw,1976,235
Ruth Etting,,19943
The Drifters - Arranged & Conducted by Stan Applebaum,1960,2719
The Beatles,1968,1983
The Regents [US1],1961,14
Roy Brown and His Mighty-Mighty Men,1950,112703
Billy Walker,1961,4190
Chuck Berry and His Combo,1955,32589
The Police,1978,35960
The Captain & Tennille,1975,31027
Elton John,1972,167
Tony Sly,2004,73389
The Velvet Underground,1969,134
Judy Collins,1964,34401
Project Pitchfork,2001,87326
Glen Gray and The Casa Loma Orchestra - Vocal Chorus by Eugenie Baird,1943,20036
Wings,1976,22519
Bob Dylan,1966,1117
Overkill,1987,96215
Marian Montgomery,1964,52387
Sonny Boy Williamson [US2],1957,64036
Siouxsie & The Banshees,1980,50879
Bob Dylan,1963,1775
Venom,1982,95176
Sick of It All,1992,54701
Woody Guthrie,1940,26770
Bo Diddley,1959,33350
Tim Buckley,1969,43968
Ida Cox,1926,4123
Clarence Carter,1968,27727
Ramones,1976,9736
Kenny Brown and Marilyn Kaye and The Arkansas Ramblers,1956,42062
The Rolling Stones,1968,1008
Richard Berry and The Pharaohs,1960,10196
Alfred Drake & Joan Roberts,,27164
Don Covay & The Goodtimers,1964,41574
Toni Braxton,1993,70012
Frankie Miller [GB],1979,21101
Dionne Warwick,1963,25305
Howlin' Wolf,1961,10230
The Jimi Hendrix Experience,1967,2817
The New Seekers,1972,114716
Frantic Elevators,1982,17667
The Platters,1955,4045
John Williams - Stanley Myers & Orchestra,1971,112940
Yvonne Elliman,1977,6275
The Jimi Hendrix Experience,1968,4144
ZZ Top,1975,2333
Bonnie Tyler,1977,79631
Judy Garland,,91832
Sodom,1989,114797
Hellhammer,1984,17115
Muddy Waters,1964,9967
The Human League,1982,98838
Utopia,1977,114973
David Martin [GB],1975,81141
Bo Diddley,2007,23131
Zager & Evans,1969,33436
Pretty Purdie and The Playboys,1971,5355
Ozzy Osbourne Blizzard of Ozz,1980,12865
Guns n' Roses,1987,53427
Bobby Bare,1970,53548
Madonna,1989,32023
Marvin Gaye,1965,1312
The Beatles,1964,8372
David Gray,1998,26150
Townes Van Zandt,1977,19759
Bob Dylan,1997,19097
[Big] Joe Williams,1941,88089
Jimmy Wakely and His Rough Riders,1941,46381
Chuck Willis,1954,31538
Erykah Badu,1997,79935
Cheap Trick,1977,62659
Sham 69,1978,27291
Dead Kennedys,1982,6573
The Staple Singers,1971,53947
Ewan MacColl & A.L. Lloyd,1962,1399
Bob Kelly and The Pikes,1998,43343
Jerry Butler,1964,4976
Pet Shop Boys,1987,32046
Little Richard and His Band,1956,4325
The Zombies,1968,26349
The Monkees,1966,246
Frank Sinatra with Orchestra conducted by Nelson Riddle,1954,4835
Johnny Thunders,1978,3808
K.C. Douglas Trio,1949,24187
Paul Petersen,1967,113675
Joey Cape,2004,53465
Queen,1986,2064
Aaron Neville,1966,24677
Slayer,1990,114789
Thelonious Monk Trio,1954,27493
The Mountain Goats,1994,112627
Billie Holiday,1941,7762
Gary Numan,1979,25473
The Melodians,1970,7215
Ethel Merman,,4704
Johnny Rivers,1971,39920
The Lovin' Spoonful,1965,38567
Paul McCartney,1970,22536
The Moody Blues with The London Festival Orchestra conducted by Peter Knight,1967,7550
Joni Mitchell,1976,23798
The Temptations [US1],1967,32343
Bob Dylan & The Band,1975,2606
The Vapors,1980,43321
Al Green,1974,2116
Dave Edmunds,1979,81748
Counting Crows,1993,47800
The Beau Brummels [US1],1965,79788
Peter Gabriel,1986,590
Hüsker Dü,1987,43849
The Chameleons [GB],1986,113774
Shirley & Lee,1956,14218
Michel Fugain,1967,60511
The Afghan Whigs,1996,99668
The Rounders [US1],1929,21958
Fred Neil,1965,16884
Sly & The Family Stone,1969,5034
The Shangri-Las,1964,74938
Hank Snow (The Singing Ranger) and His Rainbow Ranch Boys,1949,56086
Led Zeppelin,1973,11031
The Beatles,1963,10790
The Beach Boys,1965,112739
Vince Guaraldi,1965,82613
The Cure,1987,13861
Creedence Clearwater Revival,1970,20860
George Benson [US1],1977,20876
Abe Lyman and His California Orchestra - Vocal Chorus by Gracie Barrie,1933,111906
The Clash,1977,12312
Sippie Wallace,1924,25407
Syd Barrett,1970,6983
Kaye Ballard,,19985
Harry James and His Orchestra - Vocal Chorus by Dick Haymes,1941,9286
Jessie Matthews,,22969
P.J. Proby,1966,42807
Grace Jones,1981,15243
Akon feat. Snoop Dogg,2006,66375
Elvis Costello & The Attractions,1982,78148
Brian Eno,1977,16955
Judee Sill,1971,35332
Mark James,1968,48700
Queens of the Stone Age,2002,56884
Douglas Byng,,21044
The Jimi Hendrix Experience,1967,3978
Roy Head and The Traits,1965,105831
Dick Powell & Alice Faye,,35389
Randy Newman,1970,10276
Blondie,2001,22493
Bonnie Dobson,1961,31003
The Supremes [US1],1965,56591
Elton John,1973,159
Timmy Thomas,1972,14370
Johnny Cash and Tennessee Two,1956,27804
Neil Young,1972,11929
Gordon Lightfoot,1966,26681
Frances Comstock & Alfred Drake,,7583
Backstreet Boys,1999,5327
Chuck Berry,1983,27802
Blondie,1980,1557
Michael Jackson,1979,43669
John McCormack,1923,7643
Joni Mitchell,1971,43799
Paul Brady,1983,92291
Vince DiCola,1985,117030
Georgie Shaw with The Jimmy Leyden Singers - Orchestra directed by Jimmy Leyden,1953,32290
Lou Johnson,1964,1447
The Dells,1965,43884
Ken Leray,1977,87042
The Orlons,1963,31663
Isaac Hayes,1971,20875
Tom Waits,1973,50703
Go-Go's,1981,29965
The Shangri-Las,1964,5238
Gil Hamilton,1962,30238
Buddy Holly,1959,1299
Roger Miller [US-OK],1961,43161
Alphaville,1984,28
Yazoo,1982,67505
New Order,1987,26871
The Beatles,1968,428
Led Zeppelin,1970,6464
Them,1964,2363
Talking Heads,1983,114406
Johnny Moore's Three Blazers,1947,1331
Juanita Hall,,28094
"Arthur ""Big Boy"" Crudup",1947,4361
The Tams,1964,107060
Vaughan's Texas Quartet,1930,68472
Slayer,1986,109197
Irma Thomas,1962,70299
